id,words
153,"['this', 'is', 'serious', 'official', 'business', 'after', 'all', 'apostles', 'are', 'required', 'to', 'wear', 'one', 'when', 'they', 'speak', 'to', 'their', 'subordinates', 'Li', 'do', ""n't"", 'be', 'ridicllous', '.', 'Haha']"
154,"['they', 'were', 'apostles', '.', 'his']"
155,"['the', 'parallel', 'poles', ',', 'the', 'mighty', 'huntress', 'who', 'never', 'misses', 'her', 'target', 'mv', 'mvnvlh', 'artemisi', 'and', 'morpheus', 'the', 'magician', 'whose', 'tricks', 'will', 'make', 'you', 'wonder', 'if', 'you', 're', 'dreaming', '!']"
156,"['among', 'you', 'would', 'like', 'to', 'test', 'their', 'hlnting', 'skills', 'against', 'the', 'unmatched', 'lady', 'artemis', '?']"
157,"[',', 'artemis', 'zephyr', '.', 'those']"
158,"['high', 'king', '0f', 'ardhalis', 'philip', 'aevasther', 'The', 'high', 'queen', 'of', 'ardhalis', 'lizbeth', 'aevasther', 'Your', 'majesty', '!']"
159,"['once', 'again', 'the', 'noble', 'emblem', 'of', 'our', 'ancient', 'family', 'the', 'aevasther', ""'s"", 'hyacinths', ',', 'graceful', 'flowers', 'but', 'poisonous', 'for', 'anyone', 'who', 'tries', 'to', 'bruise', 'them', ',', 'has', 'been', 'tainted', 'by', 'the', 'blood', 'of', 'his', 'victims', 'the', 'leader', 'is', 'sending', 'us', 'a', 'message', ',', 'but', 'we', 'shall', 'not', 'let', 'ourselves', 'be', 'intimidated', 'we', 'will', 'not', 'show', 'fear', 'in', 'front', 'of', 'these', 'criminals', '.', 'Measures']"
160,"['phantom', 'scythe', 'has', 'always', 'targeted', 'the', 'citadel', ""'s"", 'ruling', 'family', '.', 'Aevasther']"
161,"['fardhalis', 'aevasther', 'apphalis', '#', 'yacinta', 'covus', ',', 'venusd', ')', 'sicut', 'A', 'threat', ',', 'more', 'likely', '.', 'What']"
162,"['since', 'the', 'aevasthers', 'ordered', 'the', 'assassination', 'of', 'those', 'poor', 'people', '.', 'hsy']"
163,"['since', 'the', 'aevasthers', 'ordered', 'the', 'assassination', 'of', 'those', 'poor', 'people', 'htbsy', 'They', 'signed', 'their', 'own', 'demise', '.', 'mk']"
164,"['ca', ""n't"", 'believe', 'athena', 'asked', 'one', 'of', 'them', 'to', 'go', 'on', 'stage', '.', 'Alright']"
165,"['for', 'the', 'others', 'i', ""'ve"", 'cooperated', 'with', 'mctrevor', ',', 'ryan', 'flemmings', 'and', 'a', 'woman', 'called', 'beatrice', 'blakesley', '.', 'Hm']"
166,"[""'ve"", 'been', 'investigating', 'beatrice', 'blakesley', '.', 'We']"
167,"['I', ""'ve"", 'heard', 'that', 'beatrice', 'blakesley', 'will', 'be', 'put', 'to', 'trial', 'tomorrow', '.', 'Her']"
168,"['music', 'and', 'art', 'page', ')', 'donate', 'on', 'patreon', 'for', 'blood', 'and', 'murder', ':', 'patreon', 'com', '/', 'sophism', 'editor', ':', 'hb', 'klein', 'Assistants', ':', '@', 'neekaarts', '@', 'zaphyrae', '@', 'akikakies', '@', 'yersiniaapestiss', 'music', 'by', 'sophism', 'singer', ':', 'beatrice', '@', 'slavica', 'krzelj', 'Ephemerys', 'co', 'creator', 'sophism', 'co', 'creator', 'toilet', 'paper', ""Y'all"", 'wonder', 'who', 'stole', 'all', 'the', 'toilet', 'papers', 'thow', 'We', 'stole', 'all', 'of', 'them', 'just', 'for', 'you', '1', '5', 'you', 'Are', ""n't"", 'we', 'so', 'thoughtful', 'ca', 'nt', 'reach', 'it']"
169,"[""'ve"", 'got', 'a', 'lot', 'of', 'stuff', 'to', 'cover', 'regarding', 'what', 'blakesley', 'revealed', 'tonight', '.', 'he']"
170,"[',', 'mctrevor', 'and', 'blakesley', 'were', 'all', 'arrested', '?']"
171,"[',', 'mctrevor', ',', 'blakesley', 'and', 'colden', '.', 'They']"
172,"['blakesley', 'colden', '.', 'and']"
173,"['being', 'imported', 'into', 'the', 'City', 'in', 'antipication', 'overdue', 'revolution', ',', 'hclrevor', ',', 'anslow', ';', '|', 'blakesley', '&', 'nd', 'colden', 'were', 'managing', 'the', 'front', 'business', 'iook', 'care', 'of', 'papertrails', ',', 'cleaned', 'the', 'money', ',', 'red', 'the', 'real', 'transacti', 'apostle', 'vi', '!']"
174,"['First', 'mctrevor', ',', 'anslow', ',', 'blakesley', 'and', 'colden', 'e=', 'killed', 'by', 'the', 'purple', 'hy', 'acinth', 'almieih', 'tkotelo', 'hotel', 'iiutic', '|', 'ice', 'cesttnga', 'Four']"
175,"['uk', 'Lgeek', 'uilk', 'cukk', 'ccuack', 'Belladonna', 'davenport', 'messenger', 'vi', '!']"
176,"[""'s"", 'heri', 'mm', 'Kujn', 'Hestiai', 'Belladonna', 'davenport', 'Let', ""'s"", 'make', 'it', 'spicy', ':', 'rreaders', '``', 'tears', 'co', 'creator', 'co', 'creator', '/', 'artist']"
177,"['hyacinth', 'Episode', 'Belladonna', 'davenport', 'Did', 'you', 'know', '?']"
178,"['i', 'chose', 'blades', 'over', 'guns', 'for', 'very', 'different', 'reasons', ',', 'belladonna', '.', 'Will']"
179,"['the', 'night', 'we', 'infiltrated', 'the', 'restalrant', 'i', 'overheard', 'him', 'telling', 'belladonna', 'about', 'it', '.', 'I']"
180,"['clack', 'cla', '(', 'Belladona', 'davenport', 'well', ',', 'this', 'is', 'about', 'to', 'get', 'Interesting', '.', 'Lonely']"
181,"['should', 'know', ',', 'davenport', 'things', 'were', 'actually', 'going', 'pretty', 'well', 'before', 'i', 'left', '.', 'And']"
182,"[""'s"", 'no', 'hiding', 'anything', 'from', 'you', ',', 'belladona', 'davenport', '.', 'What']"
183,"['name', ""'s"", 'davenport', 'you', 'could', 'call', 'her', 'an', '``', 'old', 'friend', '``', 'of', 'mine', ',']"
184,"[',', 'quite', 'a', 'lot', 'in', 'fact', 'Turns', 'out', 'flemmings', 'had', 'a', 'rendez', 'vous', 'with', 'davenport', 'the', 'assassin', 'i', 'just', 'told', 'you', 'about', 'she', 'is', 'involved', 'in', 'the', 'apostle', ""'s"", 'operation', 'as', 'a', 'sort', 'of', 'supervisor', 'they', ""'ll"", 'have', 'a', 'meeting', 'at', 'the', 'carmen', 'camelia', 'in', 'a', 'few', 'days', 'with', 'the', 'apostle', ""'s"", 'messenger', 'turns', 'out', 'the', 'apostle', 'xi', '!']"
185,"['took', 'over', 'the', 'leader', ""'s"", 'operation', 'for', 'his', 'own', 'interest', ',', 'whatever', 'they', 'are', 'however', ',', 'the', 'leader', 'is', 'aware', 'of', 'his', 'little', 'rebellion', 'thanks', 'to', 'davenport', ""'s"", 'intel', '.', 'i']"
186,"['the', 'leader', 'has', 'ordered', '|he', 'to', 'keep', 'eye', 'on', 'his', 'gimmicks', 'and', 'to', 'elid', 'te', 'the', 'rebels', 'when', 'the', 'right', 'time', 'comes', ',', 'belladonnf', 'davenport', 'ps', 'assassin', 'm0', 'co', 'co', 'long', 'ons', ',', '``', '1', 'role', 'in', 'the', 'weapon', 'opdration', ':', 'superviser', ',', 'ng', 'i', 'd', 'of', 'nuisances', ';', 'double', 'aqen', 'r', 'an', 'flemmings', 'role', 'in', 'the', 'weapon', 'operation', ':', 'overseas', 'associate', ',', '|ensuring', 'the', 'weapons', 'deliver', 'to', 'ardhalis', ',', 'altering', 'and', 'erasin', 'traces', 'of', 'il7', 'transaction', 'gett', ';', 'egal', 'Circus', 'tickets', 'i', 'rrivate', 'reception', '?']"
187,"['up', ',', 'davenport', '.', 'let']"
188,"[',', 'davenport', 'that', ""'s"", 'the', 'name', 'of', 'the', 'assassin', 'who', 'killed', 'harvey', '!']"
189,"['evening', 'blanca', ',', 'jane', '.', 'Hahaha']"
190,"['take', 'care', 'of', 'it', ',', 'blanca', '.', 'i', ""'"", 'l']"
191,"['i', 'used', 'to', 'have', 'a', 'sister', 'too', '.', 'daena']"
192,"['i', 'ca', 'nt', 'since', 'you', 'seem', 'to', 'find', 'the', 'situation', 'so', 'funn', 'ladell', 'you', 'll', 'be', 'in', 'charge', 'of', 'this', 'case', 'and', 'an', 'related', 'paperwork', 'at', 'your', 'orders', 'my', 'not', 'nearly', 'as', 'handsome', 'lieutenant', 'what', 'happened', 'to', 'your', 'butler', 'my', 'lady', '?']"
193,"['Ladell', ',', 'do', ""n't"", 'you', 'always', 'have', 'that', 'pocket', 'watch', 'with', 'you', '?']"
194,"['That', ""'s"", 'kym', 'for', 'you', '.', 'ladell']"
195,"['ladell', ',', 'the', 'patrol', 'is', 'in', 'your', 'charge', '!']"
196,"['ca', ""n't"", 'believe', 'they', 'called', 'us', 'in', 'on', 'our', 'day', 'off', 'sergeant', 'kym', 'ladell', 'patrol', 'unit', 'ilth', 'precinct', 'ardhalis', 'police', 'department', 'and', 'for', 'a', 'simple', 'homicide', '!']"
197,"['do', ""n't"", 'think', 'it', ""'s"", 'a', 'good', 'idea', 'lieutenant', 'hawkes', 'will', 'sergeant', 'ladelli', ""'"", 'would', 'you', 'be', 'so', 'kind', 'as', 'to', 'explain', 'why', 'your', 'desk', 'is', 'becoming', 'a', 'cafe', '?']"
198,"['llslt', 'M', 'i', 'never', 'thought', 'of', 'you', 'as', 'an', 'early', 'bird', ',', 'ladell', '.', 'thmp']"
199,"['are', 'dead', 'meat', ',', 'ladell', '.', 'you']"
200,"['officer', 'lieutenant', 'hawkes', 'went', 'after', 'her', '.', 'ladell']"
201,"['talk', 'to', 'hawkes', 'and', 'ladell', 'when', 'they', 'get', 'back', '.', 'Purple']"
202,"['hyacinth', 'Episode', 'Lieutenant', 'hawkes', ',', 'sergeant', 'ladell', 'come', 'in', ',', 'march', 'and', 'i', 'need', 'to', 'speak', 'with', 'you', 'captain', 'hermann', 'detective', 'march', 'how', 'can', 'we', 'help', 'you', '?']"
203,"['agree', 'with', 'sergeant', 'ladell', '.', 'It']"
204,"['hawkes', 'sergeant', 'ladell', 'Will', 'you', 'help', 'us', 'end', 'lune', 'once', 'and', 'for', 'all', '?']"
205,"['ladell', '?']"
206,"['just', 'slammed', 'a', 'door', 'into', 'me', ',', 'ladelli', ""'"", 'who', 'the', 'hell', 'stands', 'in', 'a', 'doorway', '?']"
207,"['ladell', ',', 'at', 'your', 'service', ',', 'miss', '.', 'The']"
208,"['stage', 'is', 'yours', ',', 'sergeant', 'ladell', '!']"
209,"['round', 'of', 'applause', 'for', 'our', 'eagle', 'eyed', 'local', 'hero', 'sergeant', 'ladell', '!']"
210,"['golden', 'clover', 'is', 'on', 'the', 'right', '.', 'Ladell']"
211,"[',', 'i', 'am', 'sergeant', 'ladell', 'And']"
212,"['hawkes', ',', '11th', 'precinct', 'sergeant', 'ladell', ',', '11th', 'precinct', 'please', 'forgive', '4s', 'our', 'impromptu', 'visit', 'we', ""'re"", 'here', 'on', 'behalf', 'of', 'the', 'investigation', 'unit', 'we', 'just', 'want', 'to', 'quickly', 'follow', 'up', 'on', 'mr', 'anslow', ""'s"", 'arrest', 'three', 'weeks', 'ago', '.', 'ah']"
213,"['about', 'you', ',', 'sergeant', 'ladell', '?']"
214,"['ca', 'nt', 'human', 'cont', 'act', 'ladell', ',', 'when', 'you', ""'re"", 'done', 'swooning', 'over', 'the', 'new', 'recruit', 'i', 'need', 'you', 'to', 'h', 'hvf']"
215,"['white', ',', 'could', 'you', 'please', 'grab', 'sergeant', 'ladell', ""'s"", 'molntain', 'of', 'reports', '.', 'before']"
216,"['lalren', ',', 'i', ""'m"", 'glad', 'to', 'know', 'you', 'still', 'have', 'eyes', 'alright', ',', 'ladellc', 'enough', ',', 'you', 'have', 'work', 'to', 'do', 'and', 'they', 'do', ""n't"", 'deserve', 'this', 'shv', 'do', ""n't"", 'worry', ',', 'i', ""'"", 'l', 'make', 'sure', 'nobody', 'at', 'the', 'precinct', 'learns', 'about', 'this', 'from', 'us', 'If', 'that', ""'s"", 'what', 'you', ""'d"", 'prefer', '.', 'Oh']"
217,"[';', 'zklde', 'Lieutenant', 'hawkes', ',', 'sergeant', 'ladell', '@', 'au', ""'"", 'A']"
218,"['Aaa', 'what', 'a', 'strange', 'day', 'the', 'reports', 'you', 'sent', 'headquarters', 'were', 'full', 'of', 'mistakes', 'and', 'unrepresentative', 'of', 'the', 'quality', 'the', '11th', 'precinct', 'is', 'trying', 'to', 'uphold', '.', 'ladell']"
219,"['ladell', ',', 'patrol', 'unit', '!']"
220,"[""'s"", 'fortunate', 'we', 'happen', 'to', 'live', 'nearby', 'or', 'maybe', 'it', 'was', 'intentional', ':', 'two', 'murders', 'back', 'to', 'back', 'make', 'sure', 'we', 'see', 'him', 'but', 'still', 'ca', ""n't"", 'catch', 'him', ':', 'a', 'power', 'play', 'plausible', 'ladell', 'he', 'has', 'been', 'taunting', 'the', 'royal', 'family', 'for', 'years', 'now', 'grisp', 'He', 'co', 'opts', 'their', 'family', 'crest', 'as', 'some', 'sort', 'of', 'sick', 'joke', '.', '4']"
221,"['ladell', 'That', 'woman', 'drives', 'me', 'insane', '!']"
222,['Ladell']
223,"[',', 'screw', 'sergeant', 'ladell', 'Present', '.', 'you']"
224,"['you', 'please', 'put', 'this', 'pile', 'of', 'paperwork', 'on', 'ladell', ""'s"", 'desk', 'when', 'she', 'comes', 'back', '?']"
225,"['sergeant', 'ladell', 'don', 'think', 'we', 'can', 'no', 'not', 'you', ',', 'march', '!']"
226,"['from', 'you', ',', 'ladell', ',', 'yes', 'Stop', 'sulking', 'in', 'your', 'corner', 'and', 'come', 'dance', 'with', 'us', 'N', 'no', '!']"
227,"['wowowow', 'owowow', 'ladell', '?']"
228,"['last', 'thing', 'i', 'want', 'to', 'thank', 'everyone', 'who', 'signed', 'up', 'for', 'the', 'security', 'team', 'at', 'viscount', 'redcliff', ""'s"", 'ball', 'on', 'the', '17th', 'i', 'have', 'forwarded', 'the', 'list', 'to', 'lord', 'rhysmel', 'lieutenant', 'hawkes', 'and', 'sergeant', 'ladell', 'will', 'hold', 'a', 'session', 'for', 'all', 'vollnteers', 'soon', 'to', 'discuss', 'preparation', 'and', 'coordination', 'with', 'other', 'precincts', 'that', 'is', 'all', 'for', 'today', 'dismissed', '.', 'Dakan']"
229,"['a', 'good', 'day', 'Ladell']"
230,"['Ladell', ',', 'are', 'you', 'smok', 'auulug', ']', 'nic']"
231,"['is', 'sergeant', 'ladell', 'Message', 'was', 'not', 'received', ',', 'i', 'repeat', 'message', 'was', 'not', 'received', 'Please', 'repeat', 'what', 'is', 'your', 'location', '?']"
232,"['ladell', 'and', 'lieutenant', 'hawkes', 'please', 'report', 'ct', '.', 'Again']"
233,"['glass', 'factory', 'located', 'on', '73', 'sherbrooke', 'street', 'where', 'is', 'sergeant', 'ladell', '?']"
234,['Ladell']
235,"['king', ""'s"", 'right', 'hand', 'dakan', 'rhysmel', '@', 'uiuk']"
236,['dakan']
237,"[""'s"", 'dakan', '.', 'Oh']"
238,"[',', 'dakan', ',', 'it', ""'s"", 'been', 'so', 'long', '!']"
239,"['the', 'way', ',', 'dakan', 'called', 'last', 'night', '!']"
240,"['still', 'have', ""n't"", 'found', 'anything', 'we', 'need', 'to', 'keep', 'looking', 'K', '#', 'tk', ':', 'I', 'have', 'so', 'many', 'things', 'to', 'tell', 'you', ',', 'ren', 'Tp', 'Qn', 'Sqfbs', 'Your', 'majesty', 'Dakan', 'you']"
241,"['that', 'a', 'threat', 'dakan', '?']"
242,"['.', 'Dakan']"
243,"['70', 'Dakani', 'you', 'made', 'it', '!']"
244,"['on', ',', 'we', 'all', 'know', 'dakan', 'is', 'really', 'here', 'to', 'see', 'you', ',', 'uncle', '.', 'let']"
245,"['sound', 'like', 'an', 'old', 'man', ',', 'dakan', '.', 'haha']"
246,"['and', 'dakan', 'were', 'the', 'closest', 'to', 'my', 'parents', '.', 'f']"
247,"[""'re"", 'a', 'good', 'man', ',', 'dakan', '.', 'i']"
248,"['yet', 'here', 'we', 'are', ',', 'talking', 'about', 'ending', 'the', 'phantom', 'scythe', 'while', 'its', 'bloodiest', 'assassin', 'stands', 'among', 'us', 'enjoying', 'the', 'show', 'this', 'morning', 'the', 'king', ""'s"", 'right', 'hand', ',', 'sir', 'rhysmel', ',', 'came', 'to', 'speak', 'with', 'me', 'to', 'establish', 'a', 'plan', 'of', 'action', ':', 'steps', 'will', 'be', 'taken', ',', 'and', 'we', 'will', 'release', 'our', 'plans', 'to', 'the', 'public', 'as', 'soon', 'as', 'possible', '!']"
249,"['queeni', 'Sir', 'rhysmel', '!']"
250,"['have', 'been', 'much', 'better', 'under', 'your', 'reign', ':', 'you', ""'ve"", 'gained', 'the', 'sympathy', 'of', 'the', 'people', ':', 'they', ""'ll"", 'fight', 'for', 'you', 'against', 'these', 'monsters', '.', 'Rhysmel']"
251,"['rhysmel', ""'"", '8', 'office', 'I', 'know', 'what', 'you', 're', 'up', 'to', '.', 'You']"
252,"['his', 'majesty', ""'s"", 'right', 'hand', ',', 'lord', 'rhysmel', ',', 'has', 'personally', 'requested', 'our', 'public', 'presence', 'at', 'the', 'event', '.', 'many']"
253,"['know', 'you', 'never', 'meant', 'to', 'kill', 'me', '.', 'Dylan']"
254,"[""'"", 'Dylan', '!']"
255,"['dylan', '!']"
256,"['come', 'here', 'these', 'are', 'called', 'freesias', 'they', 'symbolize', 'trust', 'purity', 'hey', 'dylan', ':', '.', 'hm']"
257,['Dylani']
258,"['dad', 'told', 'me', 'it', 'makes', 'men', 'charming', 'that', ""'s"", 'why', 'your', 'dad', 'is', 'still', 'single', ',', 'dylan', '!']"
259,"['you', 'tie', 'it', 'off', 'there', 'uhum', 'udo', 'glhd', 'Cks', 'Sgrecmh', '=', 'Vgh', 'dylan', ',', 'are', 'you', 'okay', '?']"
260,"['w', 'Gile', 'Wmp', 'Dylan', '?']"
261,"['it', 'was', 'too', 'late', '.', 'dylan']"
262,"['i', 'wrong', 'abolt', 'yolrs', 'too', ',', 'dylan', '?']"
263,"['flo', 'wer', 'is', 'dylan', 'really', 'dead', '?', '2', '?']"
264,"['dylan', 'fotoesh', 'vketr', 'wujt', '``', 'Look']"
265,"['the', 'odds', 'that', 'dylan', 'was', 'among', 'them', 'are', 'I', 'know', ',', 'kym', ';', 'i', 'know', '.', 'You']"
266,"['if', 'i', 'ca', ""n't"", 'prove', 'anything', 'i', 'need', 'to', 'at', 'least', 'know', 'what', 'really', 'happened', 'To', 'my', 'parents', 'and', 'to', 'dylan', '.', 'i']"
267,"['dylan', '.', 'Thanks']"
268,['Dylan']
269,"['Dylan', '.', 'If']"
270,"['it', 'trle', 'we', ""'ll"", 'get', 'to', 'see', 'king', 'edward', 'mr', 'rosenthal', '?']"
271,"['you', ',', 'mr', '.', 'rosenthal', '!']"
272,"['rosenthal', 'Dyl', 'we', 'e', 'The']"
273,"['rosenthal', 'xxo5', 'xx', 'That']"
274,"['city', 'was', 'inaugurating', 'a', 'new', 'railway', ',', 'financed', 'by', 'the', 'late', 'king', 'edward', '.', 'He']"
275,"['when', 'the', 'royal', 'family', 'is', 'most', 'vulnerable', ':', 'the', 'death', 'of', 'king', 'edward', 'was', 'the', 'perfect', 'chance', 'to', 'overthrow', 'the', 'whole', 'system', ':', 'it', ""'s"", 'about', 'time', 'the', 'leader', 'made', 'a', 'move', '!']"
276,"[""'"", 'daly', 'november', ']', '4th', ',', 'xxi7', 'the', 'king', 'is', 'dead', ""'"", '13th', ',', '10.30.a', 'date', 'that', 'will', 'forever', 'ardhalis', ""'"", 'engaved', 'the', 'when', '&', 'prince', 'philip', 'by', 'the', 'perpetrated', 'nherits', 'the', 'crown', ""'"", 'the', 'the', 'eves', 'ofcountless', 'of=', 'edward', 'and', 'our', '``', 'felbows', 'was', 'present', 'at', 'tne', 'for', 'the', 'this', 'mauguration', 'of', 'which', 'he', 'had', 'nety', 'they', 'november', 'xxi7', '.', 'remaui']"
277,"['edward', 'allendale', ""'"", 'tran', 'statjon', 'moring', 'raltway', 'financed', 'Majesty', 'was', 'members', 'of', 'thecompanied', 'by', 'nobilty', ':', 'government', '&', 'nd', 'the', 'the', 'expksion', ',', 'at', 'the', 'epicenter', 'of', ""'"", 'had', 'no', 'survival', 'dikan', 'rhyhe', 'allendale', 'kings', 'right', 'hand', 'rrain', 'station', 'is', 'he', '2', 'wh', 'many', 'standing', 'they', 'chance', 'aevasty', 'lizbeth', 'queen', 'lauren', 'ollowing', '``', 'the', 'next', 'train', 'will', 'leave', 'at', '16.45', '``', 'the', 'years', 'to', 'come', 'will', 'be', 'the', 'ibrightest', 'ardhalis', 'has', 'ever', 'known', ';', ""'"", 'Gf', '1s', 'a', 'harvey', 'officer', '18', 'trista', 'sinclhir', 'chief', '#', 'uce', 'oliver', 'petective', 'march', 'spi', '?']"
278,"['were', ""n't"", 'even', 'legal', 'under', 'king', 'edward', ""'s"", 'rule', 'how', 'did', 'my', 'parents', 'even', 'get', 'them', '?']"
279,"['I', 'had', 'told', 'them', ':', 'i', 'told', 'king', 'edward', 'his', 'policies', 'needed', 't', 'change', '.', 'the']"
280,"['lay', 'people', 'lost', 'their', 'jobs', 'for', 'much', 'less', 'were', 'interrogated', 'some', 'had', 'to', 'serve', 'time', 'in', 'jail', 'and', 'some', 'disappeared', 'edward', 'was', 'intransigent', 'and', 'cruel', '.', 'You']"
281,"['name', 'is', 'elvira', 'llyod', ',', '45', 'years', 'old', ',', 'living', 'in', 'the', '11th', 'district', '.', 'pretty']"
282,"[""'s"", 'had', 'several', 'jobs', 'as', 'manager', 'and', 'is', 'currently', 'the', 'director', 'of', 'the', 'glass', 'factory', 'on', 'sherbrooke', 'street', ',', 'in', 'the', '11th', 'as', 'well', 'Elvira', 'lloyd', '.', 'huh']"
283,"['by', 'the', 'way', 'we', 'received', 'the', 'delivery', 'yesterday', 'our', 'last', 'two', 'players', 'are', 'still', 'sticking', 'to', 'the', 'plan', 'like', 'obedient', 'pawns', 'think', 'neither', 'flemmings', 'nor', 'elvira', 'will', 'surprise', '4s', '.', 'tss']"
284,"['Pit', 'brt', 'pk', 'Pat', 'lloyd', 'inc', '.', 'glass', 'factory', 'since', 'x', 'Wc', 'ueys', 'lld', 't', 'glass', 'f', 'sfactorv', 'Did', 'you', 'manage', 'to', 'get', 'hand', 'on', 'the', 'building', ""'s"", 'plans', '?']"
285,"['will', 'never', 'abandon', 'your', 'feet', ',', 'my', 'graceful', 'lady', '!']"
286,"['you', 'know', 'even', 'though', 'you', ""'re"", 'such', 'a', 'human', 'disgrace', ',', 'i', ""'ve"", 'still', 'dedicated', 'my', 'life', 'to', 'protecting', 'ungrateful', 'cowards', 'like', 'you', '.', 'it']"
287,"['signs', 'are', 'pretty', 'vious', 'he', 'has', 'no', 'offensive', 'or', 'defensive', 'wounds', 'besides', 'the', 'cut', 'on', 'his', 'neck', 'forensic', 'examiner', 'grace', 'riverhood', 'forensic', 'unit', '11th', 'precinct', 'ardhalis', 'police', 'department', 'considering', 'the', 'rotting', 'skin', 'around', 'the', 'cut', ',', 'the', 'blade', 'must', ""'ve"", 'been', 'coated', 'powerfll', 'poison', ':', 'the', 'autopsy', 'will', 'confirm', 'it', 'but']"
288,"['are', 'circus', 'roy', 'alei', 'Here', ""'s"", 'a', 'taste', 'of', 'our', 'upcoming', 'showi', 'The', 'famed', 'killer', 'of', 'the', 'glorious', 'nemean', 'lion', 'a', 'beast', 'whose', 'hide', 'could', 'not', 'be', 'pierced', 'by', 'any', 'human', 'weapon', ""it'sthe"", 'man', ',', 'the', 'myth', ',', 'the', 'legend', 'heraklesi', 'Floating', 'in', 'the', 'sky', 'twisting', 'and', 'bending', 'the', 'breeze', 'to', 'his', 'will', 'our', 'graceful', 'aerialist', 'zephyri', 'hbrlage', 'bows', 'Accompanied', 'by', 'our', 'lovely', 'blindfolded', 'pianist', 'apolloi', 'Mluml', 'mumcl', 'On']"
289,"['We', 'are', 'left', 'trembling', 'with', 'indignation', 'at', 'these', 'disgraceful', 'injustices', '.', 'Wait']"
290,"['may', 'be', 'tristan', ""'s"", 'niece', ',', 'but', 'she', ""'s"", 'a', 'disgrace', 'to', 'the', 'department', 'and', 'sullies', 'your', 'reputation', 'by', 'association', ':', 'She', ""'s"", 'been', 'making', 'amends', 'for', 'her', 'mistake', 'and', 'everyone', 'i', 'do', ""n't"", 'care', 'what', 'your', 'precinct', 'thinks', 'of', 'her', '.', 'glik']"
291,"['of', 'the', 'original', 'thirteen', 'thuidq', 'Among', 'the', 'people', 'potentially', 'involved', ',', 'i', 've', 'identified', 'gregory', 'mctrevor', 'who', ""'s"", 'been', 'previously', 'accused', 'of', 'illegal', 'arms', 'trading', '.', 'i']"
292,"['file', 'on', 'gregory', 'mctrevor', 'Is', ""n't"", 'that', 'the', 'merchant', 'the', 'investigation', 'unit', 'keeps', 'trying', 'to', 'pin', 'down', '?']"
293,"['this', 'folder', ',', 'you', 'will', 'find', 'everything', 'you', 'need', '1o', 'send', 'gregory', 'mctrevor', 'nis', 'final', 'incarceration', '.', 'In']"
294,"['this', 'folder', ',', 'you', 'will', 'find', 'everything', 'you', 'need', '``', 'Good', 'day', ',', 'officers', 'this', 'folder', ',', 'you', 'will', 'find', 'everything', 'you', 'need', 'to', 'send', 'gregory', 'mctrevor', 'to', 'his', 'final', 'incarceration', '.', 'to']"
295,"['send', 'gregory', 'mctrevor', 'to', 'his', 'final', 'incarceration', ':']"
296,"['inside', 'this', 'folder', ';', '66', 'you', 'will', 'find', 'everything', 'you', 'need', 'to', 'send', 'gregory', 'mctrevor', 'to', 'his', 'final', 'incarceration', '?']"
297,"['whole', 'operation', 'could', 'be', 'compromised', ':', ""'"", '``', 'and', 'you', 'lose', 'your', 'only', 'chance', 'to', 'stop', 'gregory', 'mctrevor', '.', 'Apparently']"
298,"['the', 'seal', 'of', 'secrecy', 'until', 'r', 'leaked', 'outside', ',', 'the', 'whole', 'e', 'to', 'stop', 'gregory', 'mctrevor', 'lune', 'X', 'vi', 'Good', 'job', 'on', 'the', 'patrol', 'today', '!']"
299,"[""'s"", 'not', 'the', 'most', 'subtle', 'man', 'ever', '.', 'mctrevor']"
300,"['if', 'it', ""'s"", 'the', 'only', 'solution', ':', 'We', ""'ll"", 'find', 'a', 'different', 'way', 'to', 'neutralize', 'mctrevor', '.', 'I']"
301,"['have', 'the', 'day', 'to', 'verify', 'everything', 'here', 'is', 'in', 'accordance', 'with', 'what', 'is', 'already', 'known', 'of', 'Mr', 'mctrevor', '?']"
302,"['the', 'writer', 'holds', 'his', 'own', 'theatrics', 'in', 'very', 'high', 'esteem', 'hilarious', 'and', 'pretentious', 'from', 'what', 'i', ""'ve"", 'seen', 'in', 'the', 'file', ',', 'this', 'is', 'the', 'work', 'of', 'a', 'professional', 'it', 'has', 'to', 'be', 'someone', 'with', 'precise', 'knowledge', 'of', 'our', 'investigations', 'on', 'mctrevor', 'pffsh', 'covqb', 'Is', 'it', 'signed', '?']"
303,"[',', 'i', ""'ve"", 'been', 'working', 'mctrevor', ""'s"", 'case', 'for', 'five', 'years', '.', 'everyone']"
304,"['your', 'team', ':', 'stops', 'this', 'exceptional', 'incident', 'shall', 'remain', 'strictly', 'confidential', 'until', 'the', 'case', 'is', 'solved', 'until', 'mctrevor', 'is', 'either', 'behind', 'bars', 'or', 'back', 'home', 'in', 'his', 'bed', ""'"", 'and', 'Am', 'i', 'clear', '?']"
305,"['thought', 'you', 'had', 'better', 'manners', ',', 'mr', '.', 'mctrevor', '.', 'That']"
306,"['and', 'their', 'stupid', 'rules', '.', 'Mctrevori']"
307,"['already', 'told', 'you', 'everything', 'i', 'know', 'I', ""'m"", 'sure', 'you', ""'ve"", 'gone', 'through', 'a', 'lot', 'of', 'interrogations', ',', 'mctrevor', 'but', 'you', 'never', 'had', 'one', 'with', 'me', 'slam', '!']"
